seed,subgraph_size,alpha,AUC,CST,CST_equal,CST_base,loss_start_epoch,loss_end_epoch
6,2,0,0.6915,1.25528,0.90641,0.93681,0.6931472131521395,0.5812511573923697
6,2,0.01,0.6973,1.25199,0.90014,0.93045,0.6931472078408345,0.5788164392556294
6,2,0.1,0.6983,1.22863,0.89906,0.92141,0.6931472096112695,0.5911696340778086
6,2,0.2,0.7217,1.29048,0.93919,0.95470,0.6931472255451845,0.5879850310854392
6,2,0.3,0.7315,1.30268,0.99284,1.00248,0.6931472214141695,0.5974436715097711
6,2,0.4,0.7468,1.32372,1.03530,1.04226,0.6931472485608393,0.6003807706407981
6,2,0.5,0.7580,1.36914,1.12078,1.12532,0.6931472107915595,0.6068630171294259
6,2,0.6,0.7646,1.38262,1.20268,1.20624,0.6931472308564894,0.6149800472920484
6,2,0.7,0.7667,1.37381,1.19532,1.19740,0.6931472137422845,0.6169898344738649
6,2,0.8,0.7513,1.29305,1.15536,1.16136,0.6931472137422845,0.6288313033557175
6,2,0.9,0.7191,1.27247,1.13261,1.14481,0.6931471960379345,0.6377588162327757
6,2,0.99,0.7196,1.27323,1.14281,1.15675,0.6931472013492396,0.6328558561825516
6,2,1.0,0.7102,1.21963,1.21224,1.22975,0.6931472054802545,0.6377422278470332
6,3,0,0.6841,1.23500,0.88104,0.90993,0.6931472054802545,0.5618832512657241
6,3,0.01,0.6889,1.27092,0.91461,0.94149,0.6931472060703995,0.555816938971529
6,3,0.1,0.7048,1.28267,0.94592,0.96449,0.6931471989886595,0.5585690016793733
6,3,0.2,0.7217,1.31929,1.02671,1.03727,0.6931472001689496,0.5639687328055354
6,3,0.3,0.7433,1.46627,1.15456,1.15556,0.6931472131521395,0.5586884122083683
6,3,0.4,0.7445,1.46001,1.20485,1.20897,0.6931472249550394,0.5733431554076696
6,3,0.5,0.7612,1.53598,1.28233,1.27927,0.6931471889561945,0.5702566711029203
6,3,0.6,0.7555,1.51539,1.32683,1.32762,0.6931472048901095,0.5802743269665407
6,3,0.7,0.7608,1.51518,1.36315,1.36306,0.6931471924970646,0.583558193527826
6,3,0.8,0.7592,1.48862,1.31170,1.30938,0.6931471936773546,0.5827763287147673
6,3,0.9,0.7354,1.43327,1.25993,1.26378,0.6931471818744546,0.5871489608641898
6,3,0.99,0.7183,1.42353,1.23068,1.24204,0.6931471712518447,0.5866112378564211
6,3,1.0,0.7179,1.42948,1.25829,1.27073,0.6931471765631496,0.5857262953673259
6,4,0,0.6737,1.36575,1.06689,1.09527,0.6931471995788046,0.5485117158087174
6,4,0.01,0.6814,1.38055,1.09455,1.11867,0.6931472019393845,0.5439580779264469
6,4,0.1,0.7066,1.39028,1.16498,1.18220,0.6931471966280796,0.5529947540547588
6,4,0.2,0.7214,1.43122,1.22205,1.22797,0.6931472042999646,0.5518152879016234
6,4,0.3,0.7285,1.43256,1.26985,1.27319,0.6931471930872096,0.5653918397308576
6,4,0.4,0.7474,1.51979,1.34145,1.34054,0.6931472332170694,0.5637566535779746
6,4,0.5,0.7634,1.58094,1.39794,1.39440,0.6931471848251796,0.5638741951177616
6,4,0.6,0.7656,1.57958,1.39621,1.39361,0.6931472031196745,0.5711716797092173
6,4,0.7,0.7500,1.48012,1.31713,1.32291,0.6931471930872096,0.5856831038352286
6,4,0.8,0.7378,1.47602,1.31476,1.32610,0.6931472019393845,0.5858117542644539
6,4,0.9,0.7241,1.44068,1.26816,1.28706,0.6931471606292346,0.5872301606848689
6,4,0.99,0.7097,1.43497,1.26810,1.29755,0.6931471907266296,0.5888742904851932
6,4,1.0,0.7175,1.45221,1.24215,1.26734,0.6931471795138746,0.5820136217787715
6,5,0,0.7287,1.70510,1.37202,1.37821,0.6931472208240245,0.4917895823422045
6,5,0.01,0.7274,1.73309,1.40387,1.40764,0.6931472349875044,0.48889840858997685
6,5,0.1,0.7349,1.77184,1.42400,1.42061,0.6931472090211245,0.495485783213436
6,5,0.2,0.7414,1.76945,1.43742,1.42672,0.6931472119718495,0.5051104898499971
6,5,0.3,0.7334,1.69028,1.35771,1.34523,0.6931472184634445,0.5172197795150304
6,5,0.4,0.7383,1.72692,1.38468,1.36921,0.6931472497411294,0.5232710307187373
6,5,0.5,0.7494,1.67872,1.37816,1.36407,0.6931472119718495,0.5392441761375654
6,5,0.6,0.7384,1.61811,1.39471,1.38872,0.6931472450199694,0.5533389549444218
6,5,0.7,0.7174,1.48799,1.34247,1.34873,0.6931472261353294,0.5731887722959613
6,5,0.8,0.7065,1.47293,1.40649,1.42711,0.6931472190535894,0.5833957212986333
6,5,0.9,0.7025,1.49305,1.43129,1.45977,0.6931472001689496,0.5805846016005715
6,5,0.99,0.7009,1.51340,1.47207,1.51078,0.6931472214141695,0.5806383714817538
6,5,1.0,0.7020,1.52190,1.49039,1.52788,0.6931472001689496,0.5773875394670089
