subgraph_size,alpha,AUC,CST,CST_equal,CST_base,loss_start_epoch,loss_end_epoch
1,0,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.001,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.1,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.2,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.3,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.4,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.5,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.6,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.7,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.8,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.9,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.99,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,1.0,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
2,0,0.8189,1.64280,1.37066,1.38473,0.6931468213150385,0.5362015766266354
2,0.001,0.8192,1.64178,1.37093,1.38491,0.6931468411245586,0.5362858038004955
2,0.1,0.8431,1.68136,1.36516,1.36848,0.6931468029141954,0.5287415663459981
2,0.2,0.8612,1.74747,1.35077,1.34035,0.6931467716591749,0.5213451233184848
2,0.3,0.8748,1.80997,1.32460,1.30715,0.6931466740202517,0.513449824895253
2,0.4,0.8843,1.87353,1.32456,1.30190,0.6931466493684044,0.5056786851921673
2,0.5,0.8916,1.94405,1.35636,1.33099,0.6931465583326546,0.49778664318990495
2,0.6,0.8968,2.00556,1.36992,1.34345,0.6931465076202832,0.4902304395967255
2,0.7,0.9002,2.05475,1.35539,1.32849,0.6931464228355374,0.48274094183300587
2,0.8,0.9026,2.09047,1.33695,1.31056,0.6931463715949122,0.4750338354350193
2,0.9,0.8995,2.10417,1.29292,1.27412,0.693146267176731,0.4675483153789047
2,0.99,0.8993,2.11706,1.26322,1.24499,0.6931462291424525,0.4605302740235096
2,1.0,0.8992,2.11773,1.25915,1.24107,0.6931462025536744,0.45976089709266427
3,0,0.8106,2.01048,1.37861,1.35221,0.6931454214422882,0.46735190200664795
3,0.001,0.8110,2.01188,1.38022,1.35386,0.6931454212662036,0.4673701901995801
3,0.1,0.8358,2.02007,1.35902,1.31920,0.6931453844645175,0.4608735838351961
3,0.2,0.8572,2.03908,1.36213,1.31303,0.6931453674723513,0.4549595433200656
3,0.3,0.8727,2.08185,1.40643,1.35218,0.6931452710660205,0.4487457092702829
3,0.4,0.8852,2.13216,1.42025,1.36164,0.6931451944692096,0.4420558192617256
3,0.5,0.8923,2.18541,1.43070,1.37080,0.6931451176963142,0.43541258256579785
3,0.6,0.8973,2.24997,1.48470,1.42622,0.6931450609090233,0.42900815672148984
3,0.7,0.8999,2.30372,1.53481,1.47980,0.6931449711058657,0.42281066442522025
3,0.8,0.9080,2.40281,1.56844,1.51272,0.6931448880819662,0.41719738340096074
3,0.9,0.9082,2.45512,1.61551,1.56404,0.6931447645586033,0.40998612610592977
3,0.99,0.9078,2.48326,1.63241,1.58609,0.693144687257454,0.4044348166999648
3,1.0,0.9077,2.48425,1.63072,1.58491,0.6931446476384139,0.4038432126471352
4,0,0.8284,2.09809,1.29582,1.25098,0.6931433936517735,0.4481200060340819
4,0.001,0.8287,2.09925,1.29567,1.25081,0.6931433872246848,0.44811548338859086
4,0.1,0.8518,2.12518,1.28997,1.23254,0.6931434091472203,0.4420856170059131
4,0.2,0.8694,2.15561,1.30618,1.23710,0.6931434246426671,0.435907513035277
4,0.3,0.8836,2.22171,1.37266,1.29638,0.6931433737542112,0.42988097773344863
4,0.4,0.8935,2.29415,1.43916,1.35799,0.6931433232179245,0.42372396046865285
4,0.5,0.8998,2.36377,1.48520,1.40151,0.6931432460928597,0.41756165881628826
4,0.6,0.9035,2.41698,1.50433,1.41957,0.6931432349995285,0.4114930872727004
4,0.7,0.9054,2.46148,1.51649,1.43287,0.6931431573462099,0.405613820609173
4,0.8,0.9057,2.49181,1.51964,1.43884,0.6931431134130965,0.39957785478722924
4,0.9,0.9049,2.51306,1.53104,1.45497,0.6931430230816851,0.39360725417447057
4,0.99,0.9036,2.52295,1.53416,1.46363,0.6931429654139711,0.38830012065445124
4,1.0,0.9033,2.52340,1.53323,1.46318,0.6931429193678423,0.3876125890447963
5,0,0.8455,2.08876,1.23851,1.16565,0.6931414508220892,0.42156221665871196
5,0.001,0.8456,2.08915,1.23945,1.16643,0.6931414442189159,0.42153721832102126
5,0.1,0.8641,2.08968,1.22837,1.14193,0.6931415869355025,0.417848356057129
5,0.2,0.8779,2.11179,1.24103,1.14548,0.6931416768267025,0.41430901054793656
5,0.3,0.8889,2.13682,1.26732,1.16550,0.6931417399530396,0.4109311437060949
5,0.4,0.8972,2.17839,1.31911,1.21548,0.6931418230649816,0.40778698090964616
5,0.5,0.9018,2.22062,1.35827,1.25437,0.6931418529993675,0.40422722428728947
5,0.6,0.9052,2.26732,1.38226,1.28133,0.6931419357591401,0.4010253706217869
5,0.7,0.9062,2.31066,1.40496,1.30927,0.6931419460600905,0.39753451556011354
5,0.8,0.9060,2.34283,1.41373,1.32405,0.6931420223927744,0.3933183763897049
5,0.9,0.9048,2.36328,1.41786,1.33620,0.6931420382403904,0.3897681502595082
5,0.99,0.9025,2.37747,1.42272,1.34945,0.6931420335741479,0.3862372053954943
5,1.0,0.9023,2.37920,1.42336,1.35103,0.6931420075136239,0.38563266920374273
