subgraph_size=2_alpha=0.8,subgraph_size=2_alpha=0.99
-0.025833695453281205,-0.034878944350445334
-0.31106202259659765,-0.3158103251278711
-0.1020499179046601,-0.10379595020475486
-0.3796027992789944,-0.33531309134171655
-0.16831608516552174,-0.20369814656480836
-0.22518772166144724,-0.23084663345037068
-0.19693315810291095,-0.2130188619073791
-0.21481880286921903,-0.26887464674034467
-0.3311529745114967,-0.37478695103374776
-0.4789914192010959,-0.4565124399207222
-0.1952805590008696,-0.23584535456766995
-0.20750085300998763,-0.21734985522537803
-0.7120832081014912,-0.7044571312268575
-0.24781551745409766,-0.28887998999794945
-0.20284063196275384,-0.2308068569606015
-0.24850503957131878,-0.2797543277858737
-0.3791789536581685,-0.4010595450286443
-0.4919779709524785,-0.524888164633885
-0.3077034452565325,-0.3232317872527832
-0.443068320179979,-0.45017560277871477
0.12135975445620716,0.15820980538458873
-0.3694568300961206,-0.3788986503821798
-0.2538159997931992,-0.2650524047156796
-0.6107031084845463,-0.6550352169014514
-0.49200626915010315,-0.5450145178257177
-0.2530152475042269,-0.3083828376745805
-0.1803902709914837,-0.1737239197740564
-0.16830489924138722,-0.2003064461131968
-0.241478169982632,-0.1897489920600007
-0.4409784902104487,-0.44428655573409437
-0.18252799497762073,-0.1971950271289097
-0.5651242669547597,-0.5697581994719804
-0.176710610834416,-0.17386264446812372
-0.3085452055480952,-0.310388722945936
-0.37124839664747317,-0.3726601484367469
-0.15146977673711565,-0.15090828340714021
-0.2189626392458255,-0.24235062635232074
-0.23963213440108425,-0.22990859435948854
-0.16722465199728806,-0.18803498721215875
-0.38633213044609876,-0.39947867463653286
-0.3289105313954254,-0.3457931360922521
-0.41806913942292645,-0.43276755914402504
-0.41187763183377685,-0.4110825652303174
-0.4733106854868432,-0.5018509302047702
-0.4967987347394228,-0.5008298263916124
-0.18641649923287332,-0.20228542987218437
-0.5754337322153151,-0.6035519164040064
-0.4802260785922408,-0.45407808098049524
-0.4175295186415315,-0.46883337712769085
-0.28974534253124146,-0.3358836745098233
-0.42124988021484266,-0.41438626369073367
-0.19347235217535247,-0.235239156478007
-0.10604339059907943,-0.08357979983828652
-0.3799133623732875,-0.3884879076952348
-0.15874376538520057,-0.20382005650821763
-0.2390369250997901,-0.2651143283536658
-0.35097301569612077,-0.35883812660487213
-0.33768576990813015,-0.38361058179754765
