subgraph_size=2,subgraph_size=3,subgraph_size=4,subgraph_size=5
-0.49873885850111643,-0.5688988482952118,-0.5955985640486081,-0.6243758593996366
-0.6171909686923027,-0.6189053283631801,-0.6466048261026541,-0.5932614499330521
-0.4044046445687612,-0.5442935380339623,-0.6373373437921206,-0.6487763612469037
-0.6197958157459895,-0.6419001134236654,-0.6662326779961586,-0.6489623614152272
-0.4302508982022603,-0.5423930278917154,-0.6333147324124972,-0.6642835237085819
-0.09533599744240442,-0.1421820122996966,-0.07416308581829072,-0.20418481556077797
-0.7394935020804405,-0.8520141799251238,-0.8679760476946831,-0.875061977704366
-0.3285669327775637,-0.5218504163622856,-0.6171501489480337,-0.670728665292263
-0.41396709402402243,-0.6003407341241837,-0.6730250580112139,-0.7214054836829503
-0.48167566743989787,-0.6500203291078409,-0.6444927299022675,-0.5924243256946404
-0.7129508300622305,-0.7716504802306493,-0.7685639316836993,-0.7880534324049949
-0.671528895397981,-0.66092777967453,-0.6673167413473129,-0.6386329002181689
-0.08682237928112348,-0.17201760493218898,-0.3503765126069387,-0.45656599606115683
-0.34357087870438896,-0.5039328727126121,-0.6375142861406008,-0.6389397331078848
-0.3820975361764431,-0.523824424246947,-0.5426885716120402,-0.5732355670134226
-0.5318259076277415,-0.6949066149195036,-0.6517743688821792,-0.7607225065430006
-0.5139568738142649,-0.6491644044717153,-0.7084853133559227,-0.7413091579079628
-0.40098277712861696,-0.6457786424954732,-0.7188036674261093,-0.7196218061447144
-0.7281328651309014,-0.7120703388253847,-0.8250214519103368,-0.8324414380391438
-0.5052637855211893,-0.6046057499448458,-0.6558380299806594,-0.5983422069748243
-0.6477436040838559,-0.7743984426061312,-0.8449971986810366,-0.8446126402417818
-0.6063182413578033,-0.6202793926497301,-0.5984693029522896,-0.5778062872588634
-0.5567894499500593,-0.7033839532732964,-0.6832186191280682,-0.6826469123736024
-0.678715122739474,-0.763384446601073,-0.7227463808655739,-0.777205960949262
-0.09859650428096453,-0.24794221848249434,-0.5024766825636228,-0.4610026328017314
-0.4404538274804751,-0.6712512950102488,-0.636770148674647,-0.6958169413606325
-0.7369687340656916,-0.7581050062179565,-0.8190784530838331,-0.7798458068569502
-0.4424193103114764,-0.4586637648940086,-0.6322237489620844,-0.6249019823471705
-0.6479318303863207,-0.7357843005657196,-0.7820615993936857,-0.7980845781167348
-0.709227919280529,-0.7803139620025953,-0.7891460887591044,-0.7855139323075613
-0.2384426893790563,-0.3458574595053991,-0.4577205444872379,-0.4998487521211306
-0.49337231159210204,-0.6248883655667306,-0.6120955802003543,-0.6343909963965416
-0.436041068037351,-0.6346420992414157,-0.5944055434068044,-0.6753724601864814
-0.42796953856945036,-0.576451669583718,-0.6687570495406786,-0.7001154639323552
-0.6527159367998441,-0.7047040755550067,-0.6382291704416275,-0.6954393144448598
-0.6196560528874397,-0.6937770453095436,-0.6793936055898666,-0.6804096034169197
-0.6319034413496654,-0.7156723541021347,-0.726901956597964,-0.7899354416131973
-0.4603936077654362,-0.5454342504342397,-0.567992286880811,-0.562494716544946
-0.603664384285609,-0.7806300849715868,-0.8180543472369511,-0.823702687198917
-0.4389963810145855,-0.5631789981325468,-0.5812437131007513,-0.6166067066788673
-0.5954106800754865,-0.7154122509558996,-0.7555372816324234,-0.7912812219063441
-0.6618594811360041,-0.6558481638630231,-0.8058786071340243,-0.7787529641389846
-0.05657489908238252,-0.07148900095062952,-0.11809909072238951,-0.13169362924449768
-0.5887182916204134,-0.7196615774432819,-0.7753580642739931,-0.7833778099219004
-0.5087856498360633,-0.651402441461881,-0.6424426932136218,-0.6502742980917294
-0.4636594466368357,-0.5671579261620839,-0.5232103193799654,-0.5725528573989869
-0.6474349054694176,-0.7545377879341444,-0.7877978465954463,-0.8184428843855858
-0.6537633506457011,-0.8173127775390943,-0.8245254414280255,-0.8225660340984663
-0.60220029403766,-0.7968407667676608,-0.6818664821982384,-0.7301437070965767
-0.7698398558298747,-0.8322322645783424,-0.8710351226727168,-0.8883431221048037
-0.6660021789868673,-0.8020396037896474,-0.8398090675473213,-0.8577639174461364
-0.29539509614308673,-0.38926626483599347,-0.4178926534950733,-0.4424420310060183
-0.4301924987634023,-0.5638883378108343,-0.5730360280474027,-0.6400254454215367
-0.5235501626133918,-0.5890971582134564,-0.6263082689046859,-0.6576366750399272
-0.5519464512666067,-0.6431551199158033,-0.7094187645117441,-0.691321342587471
-0.8266418246428172,-0.8496636142333348,-0.8420320631066958,-0.8499024005730947
-0.4727458704759677,-0.5894804618755977,-0.61143973082304,-0.6590358263254166
-0.5688916343450546,-0.5649434592326482,-0.6538701503475507,-0.7391439988215764
-0.3450852379202843,-0.5221018066008886,-0.5439005494117737,-0.5733723077178001
-0.5700145774086316,-0.7004111448923747,-0.7234397227565448,-0.7718998432159424
-0.5704632586240769,-0.6868827205896377,-0.6419434521595637,-0.6652831501762072
-0.5032613508900007,-0.6253444162011147,-0.645342141588529,-0.6677901554107666
-0.3566218931476275,-0.5043753637870153,-0.5996953876813252,-0.5802780916293462
-0.5753202136357626,-0.5899979922175408,-0.5362308876713117,-0.6226879309614499
-0.5648571824034055,-0.5954945262273152,-0.7154706360896429,-0.7111690974235535
-0.6293890084822973,-0.7350079744060835,-0.7955913324157396,-0.8290410719315211
-0.33188845162590347,-0.5649489822983742,-0.6799632736047109,-0.6138434740652641
-0.43872813175121944,-0.5889179438352585,-0.6787538814544678,-0.7236327896515529
-0.7961538857221604,-0.824389818807443,-0.8534412501255672,-0.8584770503640174
-0.412313275039196,-0.5758118708928426,-0.5763091247280439,-0.6172948233286539
-0.6154767574866613,-0.651977532406648,-0.6899490213394165,-0.6601220600803693
-0.48266407757997515,-0.4984223826726278,-0.7348797084887823,-0.7843618154525757
