Dataset:  ACM
Epoch:0 Loss:0.69306029
Epoch:1 Loss:0.66827745
Epoch:2 Loss:0.59441411
Epoch:3 Loss:0.57160327
Epoch:4 Loss:0.55083446
Epoch:5 Loss:0.52630760
Epoch:6 Loss:0.49850597
Epoch:7 Loss:0.47571342
Epoch:8 Loss:0.45669144
Epoch:9 Loss:0.44468942
Epoch:10 Loss:0.43109605
Epoch:11 Loss:0.42335127
Epoch:12 Loss:0.40997371
Epoch:13 Loss:0.40072005
Epoch:14 Loss:0.39478142
Epoch:15 Loss:0.38420016
Epoch:16 Loss:0.37433239
Epoch:17 Loss:0.37360032
Epoch:18 Loss:0.36527104
Epoch:19 Loss:0.35886253
Epoch:20 Loss:0.34913246
Epoch:21 Loss:0.34088909
Epoch:22 Loss:0.34545438
Epoch:23 Loss:0.33330957
Epoch:24 Loss:0.33696545
Epoch:25 Loss:0.32797019
Epoch:26 Loss:0.32921226
Epoch:27 Loss:0.32372247
Epoch:28 Loss:0.31709459
Epoch:29 Loss:0.31569175
Epoch:30 Loss:0.31174695
Epoch:31 Loss:0.30841163
Epoch:32 Loss:0.30140304
Epoch:33 Loss:0.30474838
Epoch:34 Loss:0.30196625
Epoch:35 Loss:0.29721129
Epoch:36 Loss:0.29383693
Epoch:37 Loss:0.29329948
Epoch:38 Loss:0.28943249
Epoch:39 Loss:0.28535237
Epoch:40 Loss:0.28829008
Epoch:41 Loss:0.28613647
Epoch:42 Loss:0.28685906
Epoch:43 Loss:0.28074631
Epoch:44 Loss:0.28246529
Epoch:45 Loss:0.27921447
Epoch:46 Loss:0.27267079
Epoch:47 Loss:0.27902420
Epoch:48 Loss:0.27990832
Epoch:49 Loss:0.27474076
Epoch:50 Loss:0.27334606
Epoch:51 Loss:0.27033625
Epoch:52 Loss:0.26728970
Epoch:53 Loss:0.27401596
Epoch:54 Loss:0.26630362
Epoch:55 Loss:0.26398858
Epoch:56 Loss:0.26537783
Epoch:57 Loss:0.26476849
Epoch:58 Loss:0.26506933
Epoch:59 Loss:0.26766888
Epoch:60 Loss:0.26393111
Epoch:61 Loss:0.26583467
Epoch:62 Loss:0.25934088
Epoch:63 Loss:0.25715273
Epoch:64 Loss:0.25920488
Epoch:65 Loss:0.25935817
Epoch:66 Loss:0.25614784
Epoch:67 Loss:0.25117474
Epoch:68 Loss:0.25347273
Epoch:69 Loss:0.25593571
Epoch:70 Loss:0.24680549
Epoch:71 Loss:0.25568375
Epoch:72 Loss:0.25654634
Epoch:73 Loss:0.25382112
Epoch:74 Loss:0.25424833
Epoch:75 Loss:0.25227975
Epoch:76 Loss:0.25494806
Epoch:77 Loss:0.24771038
Epoch:78 Loss:0.25001634
Epoch:79 Loss:0.24495549
Epoch:80 Loss:0.24627109
Epoch:81 Loss:0.24474125
Epoch:82 Loss:0.24452553
Epoch:83 Loss:0.24105982
Epoch:84 Loss:0.24284576
Epoch:85 Loss:0.24342958
Epoch:86 Loss:0.24263115
Epoch:87 Loss:0.23647969
Epoch:88 Loss:0.24083476
Epoch:89 Loss:0.23992435
Epoch:90 Loss:0.24231383
Epoch:91 Loss:0.24296768
Epoch:92 Loss:0.24129891
Epoch:93 Loss:0.23710180
Epoch:94 Loss:0.23579898
Epoch:95 Loss:0.23867745
Epoch:96 Loss:0.23363591
Epoch:97 Loss:0.23631175
Epoch:98 Loss:0.23915293
Epoch:99 Loss:0.23296685

 Contrast Score Margin:2.06488
AUC:0.7786

 run time: 
01:02:01.646
