Dataset:  BlogCatalog
Epoch:0 Loss:0.69314719
Epoch:1 Loss:0.69314715
Epoch:2 Loss:0.69314701
Epoch:3 Loss:0.69314670
Epoch:4 Loss:0.69314523
Epoch:5 Loss:0.69312977
Epoch:6 Loss:0.69290463
Epoch:7 Loss:0.69116727
Epoch:8 Loss:0.68515533
Epoch:9 Loss:0.67857447
Epoch:10 Loss:0.67312791
Epoch:11 Loss:0.67068795
Epoch:12 Loss:0.66692240
Epoch:13 Loss:0.66825462
Epoch:14 Loss:0.66348474
Epoch:15 Loss:0.66263296
Epoch:16 Loss:0.66390317
Epoch:17 Loss:0.65925175
Epoch:18 Loss:0.66131300
Epoch:19 Loss:0.65923681
Epoch:20 Loss:0.65958104
Epoch:21 Loss:0.65530454
Epoch:22 Loss:0.65678133
Epoch:23 Loss:0.65309400
Epoch:24 Loss:0.65394828
Epoch:25 Loss:0.65795839
Epoch:26 Loss:0.65249361
Epoch:27 Loss:0.65395059
Epoch:28 Loss:0.64781371
Epoch:29 Loss:0.64681877
Epoch:30 Loss:0.64796142
Epoch:31 Loss:0.65059382
Epoch:32 Loss:0.64799053
Epoch:33 Loss:0.64786039
Epoch:34 Loss:0.65126805
Epoch:35 Loss:0.64410061
Epoch:36 Loss:0.64345800
Epoch:37 Loss:0.63903930
Epoch:38 Loss:0.64559978
Epoch:39 Loss:0.64727868
Epoch:40 Loss:0.64680871
Epoch:41 Loss:0.64220772
Epoch:42 Loss:0.63960141
Epoch:43 Loss:0.63951485
Epoch:44 Loss:0.64035797
Epoch:45 Loss:0.63967895
Epoch:46 Loss:0.63910272
Epoch:47 Loss:0.63424664
Epoch:48 Loss:0.63923865
Epoch:49 Loss:0.63560902
Epoch:50 Loss:0.63856759
Epoch:51 Loss:0.63245168
Epoch:52 Loss:0.63499834
Epoch:53 Loss:0.63429690
Epoch:54 Loss:0.63529085
Epoch:55 Loss:0.63097447
Epoch:56 Loss:0.63260790
Epoch:57 Loss:0.63166744
Epoch:58 Loss:0.63370610
Epoch:59 Loss:0.62926317
Epoch:60 Loss:0.63091009
Epoch:61 Loss:0.62820258
Epoch:62 Loss:0.62670715
Epoch:63 Loss:0.62879702
Epoch:64 Loss:0.63159769
Epoch:65 Loss:0.62977934
Epoch:66 Loss:0.62852435
Epoch:67 Loss:0.62614420
Epoch:68 Loss:0.62962301
Epoch:69 Loss:0.62373076
Epoch:70 Loss:0.62624851
Epoch:71 Loss:0.62729148
Epoch:72 Loss:0.62401673
Epoch:73 Loss:0.62265959
Epoch:74 Loss:0.62642989
Epoch:75 Loss:0.62382979
Epoch:76 Loss:0.61829023
Epoch:77 Loss:0.62266152
Epoch:78 Loss:0.62139098
Epoch:79 Loss:0.62047048
Epoch:80 Loss:0.62178858
Epoch:81 Loss:0.62168912
Epoch:82 Loss:0.61935362
Epoch:83 Loss:0.62297456
Epoch:84 Loss:0.61811197
Epoch:85 Loss:0.62074356
Epoch:86 Loss:0.61485442
Epoch:87 Loss:0.61708241
Epoch:88 Loss:0.62201761
Epoch:89 Loss:0.61801297
Epoch:90 Loss:0.62148462
Epoch:91 Loss:0.61167280
Epoch:92 Loss:0.61639306
Epoch:93 Loss:0.61395479
Epoch:94 Loss:0.61282759
Epoch:95 Loss:0.61475766
Epoch:96 Loss:0.61718009
Epoch:97 Loss:0.62037660
Epoch:98 Loss:0.61699200
Epoch:99 Loss:0.61615506

 Contrast Score Margin:1.14382
AUC:0.6719

 run time: 
00:11:27.141
