Dataset:  Flickr
Epoch:0 Loss:0.69314715
Epoch:1 Loss:0.69314681
Epoch:2 Loss:0.69314592
Epoch:3 Loss:0.69314376
Epoch:4 Loss:0.69313519
Epoch:5 Loss:0.69309265
Epoch:6 Loss:0.69274444
Epoch:7 Loss:0.69096781
Epoch:8 Loss:0.68649396
Epoch:9 Loss:0.68201870
Epoch:10 Loss:0.67904151
Epoch:11 Loss:0.67975786
Epoch:12 Loss:0.67724356
Epoch:13 Loss:0.67867608
Epoch:14 Loss:0.67636861
Epoch:15 Loss:0.67600278
Epoch:16 Loss:0.67591377
Epoch:17 Loss:0.67575567
Epoch:18 Loss:0.67118642
Epoch:19 Loss:0.67352556
Epoch:20 Loss:0.66913883
Epoch:21 Loss:0.67329140
Epoch:22 Loss:0.66884194
Epoch:23 Loss:0.66782757
Epoch:24 Loss:0.66747066
Epoch:25 Loss:0.66756193
Epoch:26 Loss:0.66798753
Epoch:27 Loss:0.66835017
Epoch:28 Loss:0.66465633
Epoch:29 Loss:0.66532153
Epoch:30 Loss:0.66004339
Epoch:31 Loss:0.66430211
Epoch:32 Loss:0.66414202
Epoch:33 Loss:0.66348130
Epoch:34 Loss:0.66463050
Epoch:35 Loss:0.66413622
Epoch:36 Loss:0.66089813
Epoch:37 Loss:0.65819274
Epoch:38 Loss:0.65852171
Epoch:39 Loss:0.65690317
Epoch:40 Loss:0.65628485
Epoch:41 Loss:0.65548030
Epoch:42 Loss:0.65437965
Epoch:43 Loss:0.65806617
Epoch:44 Loss:0.65759692
Epoch:45 Loss:0.65847924
Epoch:46 Loss:0.65694202
Epoch:47 Loss:0.65378705
Epoch:48 Loss:0.65388458
Epoch:49 Loss:0.65306767
Epoch:50 Loss:0.65438412
Epoch:51 Loss:0.65362978
Epoch:52 Loss:0.65223336
Epoch:53 Loss:0.65115989
Epoch:54 Loss:0.65393082
Epoch:55 Loss:0.65095027
Epoch:56 Loss:0.65136280
Epoch:57 Loss:0.65029967
Epoch:58 Loss:0.65333535
Epoch:59 Loss:0.65045400
Epoch:60 Loss:0.65463542
Epoch:61 Loss:0.65115139
Epoch:62 Loss:0.64764183
Epoch:63 Loss:0.65248519
Epoch:64 Loss:0.65103346
Epoch:65 Loss:0.65375432
Epoch:66 Loss:0.65004970
Epoch:67 Loss:0.64824917
Epoch:68 Loss:0.64909491
Epoch:69 Loss:0.64852478
Epoch:70 Loss:0.64820254
Epoch:71 Loss:0.64725319
Epoch:72 Loss:0.65035754
Epoch:73 Loss:0.64955776
Epoch:74 Loss:0.64969518
Epoch:75 Loss:0.64390321
Epoch:76 Loss:0.64516552
Epoch:77 Loss:0.64547508
Epoch:78 Loss:0.65030143
Epoch:79 Loss:0.64513983
Epoch:80 Loss:0.64529005
Epoch:81 Loss:0.64435802
Epoch:82 Loss:0.63981685
Epoch:83 Loss:0.64724516
Epoch:84 Loss:0.64230281
Epoch:85 Loss:0.64295370
Epoch:86 Loss:0.64506782
Epoch:87 Loss:0.64531968
Epoch:88 Loss:0.64348840
Epoch:89 Loss:0.64330693
