Dataset:  cora
Epoch:0 Loss:0.69314510
Epoch:1 Loss:0.69313183
Epoch:2 Loss:0.69310587
Epoch:3 Loss:0.69303456
Epoch:4 Loss:0.69286802
Epoch:5 Loss:0.69243889
Epoch:6 Loss:0.69156503
Epoch:7 Loss:0.68975270
Epoch:8 Loss:0.68622398
Epoch:9 Loss:0.68087426
Epoch:10 Loss:0.67239707
Epoch:11 Loss:0.66146103
Epoch:12 Loss:0.64777539
Epoch:13 Loss:0.63305185
Epoch:14 Loss:0.62301263
Epoch:15 Loss:0.60936801
Epoch:16 Loss:0.59279541
Epoch:17 Loss:0.58934470
Epoch:18 Loss:0.57962953
Epoch:19 Loss:0.57294754
Epoch:20 Loss:0.57537236
Epoch:21 Loss:0.56853390
Epoch:22 Loss:0.56465547
Epoch:23 Loss:0.55556488
Epoch:24 Loss:0.55579358
Epoch:25 Loss:0.54595294
Epoch:26 Loss:0.54073500
Epoch:27 Loss:0.54554945
Epoch:28 Loss:0.53805096
Epoch:29 Loss:0.52812849
Epoch:30 Loss:0.53371466
Epoch:31 Loss:0.52971466
Epoch:32 Loss:0.52382583
Epoch:33 Loss:0.52538882
Epoch:34 Loss:0.51498760
Epoch:35 Loss:0.50775568
Epoch:36 Loss:0.50862353
Epoch:37 Loss:0.51233165
Epoch:38 Loss:0.50615902
Epoch:39 Loss:0.50583792
Epoch:40 Loss:0.49680839
Epoch:41 Loss:0.49859732
Epoch:42 Loss:0.49981749
Epoch:43 Loss:0.49170397
Epoch:44 Loss:0.49321087
Epoch:45 Loss:0.48733189
Epoch:46 Loss:0.48453323
Epoch:47 Loss:0.49487652
Epoch:48 Loss:0.48027840
Epoch:49 Loss:0.48924172
Epoch:50 Loss:0.48387291
Epoch:51 Loss:0.48272182
Epoch:52 Loss:0.48039514
Epoch:53 Loss:0.47201653
Epoch:54 Loss:0.47434019
Epoch:55 Loss:0.46665223
Epoch:56 Loss:0.48362340
Epoch:57 Loss:0.46596486
Epoch:58 Loss:0.46084460
Epoch:59 Loss:0.46937554
Epoch:60 Loss:0.46157425
Epoch:61 Loss:0.45531942
Epoch:62 Loss:0.45931870
Epoch:63 Loss:0.45306450
Epoch:64 Loss:0.45463693
Epoch:65 Loss:0.44683597
Epoch:66 Loss:0.44254315
Epoch:67 Loss:0.44748969
Epoch:68 Loss:0.44474570
Epoch:69 Loss:0.45163171
Epoch:70 Loss:0.44011179
Epoch:71 Loss:0.43689481
Epoch:72 Loss:0.43963680
Epoch:73 Loss:0.44864071
Epoch:74 Loss:0.42951221
Epoch:75 Loss:0.43890659
Epoch:76 Loss:0.43474602
Epoch:77 Loss:0.42631631
Epoch:78 Loss:0.42789480
Epoch:79 Loss:0.42741015
Epoch:80 Loss:0.42742974
Epoch:81 Loss:0.42479259
Epoch:82 Loss:0.42315352
Epoch:83 Loss:0.41949852
Epoch:84 Loss:0.41179669
Epoch:85 Loss:0.41708608
Epoch:86 Loss:0.42048658
Epoch:87 Loss:0.41660282
Epoch:88 Loss:0.40467579
Epoch:89 Loss:0.40935008
Epoch:90 Loss:0.40999627
Epoch:91 Loss:0.40719573
Epoch:92 Loss:0.40970924
Epoch:93 Loss:0.41003122
Epoch:94 Loss:0.41005494
Epoch:95 Loss:0.39520906
Epoch:96 Loss:0.39761729
Epoch:97 Loss:0.39693531
Epoch:98 Loss:0.39981983
Epoch:99 Loss:0.40097804

 Contrast Score Margin:2.39006
AUC:0.9164

 run time: 
00:02:19.593
