alpha,beta,gamma,AUC,CST,CST_equal,CST_base,loss_start_epoch,loss_end_epoch
0.9,0,0,0.6129,,1.62213,1.15685,1.22945,1.1882523069756135,0.965267689068378
0.9,0,0.001,0.6129,,1.62213,1.15685,1.22945,1.1884082621845307,0.9653660056222119
0.9,0,0.1,0.6135,,1.63238,1.22217,1.29658,1.2037973560857442,0.975049410626189
0.9,0,0.2,0.6135,,1.63238,1.22217,1.29658,1.219338105402147,0.9851224423831385
0.9,0,0.3,0.6135,,1.63238,1.22217,1.29658,1.2348823071076744,0.9949776062238574
0.9,0,0.4,0.6135,,1.63238,1.22217,1.29658,1.2504248963217262,1.004849294179031
0.9,0,0.5,0.6135,,1.63238,1.22217,1.29658,1.2659743319482781,1.0147766525971147
0.9,0,0.6,0.6127,,1.62618,1.21550,1.28848,1.281515746413973,1.0250140460203756
0.9,0,0.7,0.6135,,1.63238,1.22217,1.29658,1.297058321862518,1.0346069731007548
0.9,0,0.8,0.6135,,1.63238,1.22217,1.29658,1.3126012309869497,1.046275063970623
0.9,0,0.9,0.6127,,1.62618,1.21550,1.28848,1.3281501253537713,1.0552626760121582
0.9,0,0.99,0.6135,,1.63238,1.22217,1.29658,1.3421407926991133,1.0616361959977183
0.9,0,1.0,0.6127,,1.62618,1.21550,1.28848,1.3436978397413435,1.0638893721560683
0.9,0.001,0,0.6145,,1.63033,1.17105,1.24194,1.187757244561616,0.9551469825431876
0.9,0.001,0.001,0.6145,,1.63033,1.17105,1.24194,1.18791321353604,0.9552463989610209
0.9,0.001,0.1,0.6145,,1.63033,1.17105,1.24194,1.2033029155973474,0.9649067525224928
0.9,0.001,0.2,0.6145,,1.63033,1.17105,1.24194,1.2188422759741062,0.9753906334520213
0.9,0.001,0.3,0.6145,,1.63033,1.17105,1.24193,1.2343880312547397,0.9846857974766033
0.9,0.001,0.4,0.6145,,1.63033,1.17105,1.24194,1.2499317632811724,0.9948692553037859
0.9,0.001,0.5,0.6145,,1.63033,1.17105,1.24194,1.265480298918885,1.0051675186972144
0.9,0.001,0.6,0.6113,,1.66417,1.24094,1.31334,1.2810208976406423,1.0141828663079349
0.9,0.001,0.7,0.6113,,1.66417,1.24094,1.31334,1.2965653914502255,1.023825704500802
0.9,0.001,0.8,0.6145,,1.63033,1.17105,1.24194,1.3121088038415887,1.0356409216587867
0.9,0.001,0.9,0.6140,,1.63769,1.20280,1.27343,1.3276567010350921,1.0459427745457885
0.9,0.001,0.99,0.6140,,1.63769,1.20280,1.27343,1.3416465300610654,1.0541915139204912
0.9,0.001,1.0,0.6145,,1.64199,1.24334,1.31651,1.3432061738285126,1.0560847617186795
0.9,0.1,0,0.6478,,1.65198,1.20679,1.26614,1.1387417385264302,0.9237010618005008
0.9,0.1,0.001,0.6570,,1.67741,1.22735,1.27656,1.1388977006181007,0.9161202701079653
0.9,0.1,0.1,0.6054,,1.69018,1.24053,1.31550,1.1542894328163622,0.9545553194457884
0.9,0.1,0.2,0.6054,,1.69017,1.24054,1.31551,1.1698367356152788,0.9643177558037755
0.9,0.1,0.3,0.6054,,1.69019,1.24056,1.31554,1.185385060640736,0.9738256671136851
0.9,0.1,0.4,0.6057,,1.67513,1.20220,1.27608,1.2009305821830627,0.9844081524337962
0.9,0.1,0.5,0.6063,,1.68723,1.24239,1.31943,1.216486244223685,0.9935714475827735
0.9,0.1,0.6,0.6054,,1.69018,1.24053,1.31550,1.2320268377145498,1.0038907284274112
0.9,0.1,0.7,0.6054,,1.69018,1.24051,1.31548,1.247574275690744,1.01347651850544
0.9,0.1,0.8,0.6054,,1.69017,1.24050,1.31547,1.2631248794582093,1.0247693162316813
0.9,0.1,0.9,0.6063,,1.68723,1.24239,1.31942,1.2786689977447652,1.0317540749666598
0.9,0.1,0.99,0.6064,,1.68723,1.24241,1.31944,1.2926694000565704,1.0434810404964738
0.9,0.1,1.0,0.6057,,1.67514,1.20220,1.27609,1.2942298802162153,1.0433282513541382
0.9,0.2,0,0.6793,,1.63035,1.28764,1.33363,1.089231266435795,0.8621162623511176
0.9,0.2,0.001,0.6989,,1.69101,1.28120,1.30222,1.0893871825506725,0.8423655374496143
0.9,0.2,0.1,0.6130,,1.63635,1.15637,1.21351,1.1047792627409478,0.9107463921465444
0.9,0.2,0.2,0.6110,,1.68551,1.25024,1.30910,1.1203263653893945,0.9201563152099592
0.9,0.2,0.3,0.6129,,1.64609,1.19727,1.25454,1.1358752391079556,0.93091921305271
0.9,0.2,0.4,0.6110,,1.68550,1.25025,1.30911,1.1514235941422177,0.939715117973213
0.9,0.2,0.5,0.6129,,1.64609,1.19725,1.25452,1.1669740283186387,0.9505039739829013
0.9,0.2,0.6,0.6129,,1.64606,1.19713,1.25440,1.182519747533644,0.9611179434950302
0.9,0.2,0.7,0.6110,,1.68548,1.25012,1.30899,1.1980747438743538,0.9685067775343087
0.9,0.2,0.8,0.6110,,1.68547,1.25014,1.30900,1.2136242312592116,0.9798926672539039
0.9,0.2,0.9,0.6110,,1.68552,1.25031,1.30918,1.2291673006141433,0.9892715502005527
0.9,0.2,0.99,0.6110,,1.68550,1.25025,1.30912,1.2431653795836979,0.996554608570786
0.9,0.2,1.0,0.6138,,1.64914,1.22063,1.27963,1.2447268101139377,0.9999101930072071
0.9,0.3,0,0.7180,,1.60800,1.36951,1.40145,1.0397207736968994,0.8000062029576467
0.9,0.3,0.001,0.7294,,1.72084,1.38568,1.39775,1.0398766600782823,0.7781867069680476
0.9,0.3,0.1,0.6249,,1.62457,1.19388,1.23757,1.0552701900517418,0.8760565268800661
0.9,0.3,0.2,0.6248,,1.62456,1.19385,1.23755,1.0708189327226776,0.8863521792321503
0.9,0.3,0.3,0.6249,,1.62459,1.19389,1.23758,1.086362794420185,0.8962114509754313
0.9,0.3,0.4,0.6254,,1.62366,1.20737,1.25187,1.1019096168029117,0.9048912554084566
0.9,0.3,0.5,0.6249,,1.62454,1.19365,1.23734,1.1174652207530948,0.9165971689356393
0.9,0.3,0.6,0.6254,,1.62364,1.20728,1.25178,1.133008000481762,0.926821608190999
0.9,0.3,0.7,0.6211,,1.68353,1.28911,1.33638,1.1485557283595307,0.9351724139812637
0.9,0.3,0.8,0.6211,,1.68352,1.28919,1.33646,1.1641019984701213,0.9430224850051122
0.9,0.3,0.9,0.6254,,1.62371,1.20745,1.25195,1.179644184630132,0.9573406457350381
0.9,0.3,0.99,0.6211,,1.68350,1.28923,1.33650,1.193652398041159,0.9635228955167545
0.9,0.3,1.0,0.6254,,1.62372,1.20757,1.25207,1.1952102933139228,0.9662354812886368
0.9,0.4,0,0.7100,,1.64521,1.43302,1.48453,0.9902102764153866,0.7673264940120882
0.9,0.4,0.001,0.7265,,1.65046,1.41121,1.44703,0.990366187987647,0.7476901734123054
0.9,0.4,0.1,0.6198,,1.63315,1.20350,1.24113,1.0057589245172902,0.8497135162904136
