alpha,beta,gamma,AUC,CST,CST_equal,CST_base,loss_start_epoch,loss_end_epoch
0.9,0,0,0.8182,,2.66277,1.39203,1.02773,1.1882465928389856,0.2893685937411512
0.9,0,0.001,0.8182,,2.66277,1.39203,1.02773,1.1884281349354118,0.28946658633011113
0.9,0,0.1,0.8182,,2.66277,1.39203,1.02773,1.2064032836257068,0.2993472434842339
0.9,0,0.2,0.8182,,2.66277,1.39203,1.02773,1.2245623366697294,0.30966315146391193
0.9,0,0.3,0.8182,,2.66277,1.39203,1.02773,1.2427186948743567,0.3196645017891343
0.9,0,0.4,0.8182,,2.66277,1.39203,1.02773,1.2608776652565725,0.3298624956844302
0.9,0,0.5,0.8182,,2.66277,1.39203,1.02773,1.27903340828107,0.33956916626237127
0.9,0,0.6,0.8182,,2.66277,1.39203,1.02773,1.2971894798029426,0.35023163523729905
0.9,0,0.7,0.8182,,2.66277,1.39203,1.02773,1.3153491154568382,0.3610264765883051
0.9,0,0.8,0.8182,,2.66277,1.39203,1.02773,1.333509858606956,0.3702963863921875
0.9,0,0.9,0.8011,,2.63408,1.37732,1.01375,1.351664205732595,0.3793245721927519
0.9,0,0.99,0.8215,,2.69746,1.42896,1.07683,1.3680119377949735,0.3892115218022366
0.9,0,1.0,0.8182,,2.66277,1.39203,1.02773,1.3698189029616208,0.39007032315294626
0.9,0.001,0,0.8204,,2.66338,1.40038,1.03599,1.187751506877655,0.29005070276578554
0.9,0.001,0.001,0.8204,,2.66351,1.40066,1.03660,1.1879330274755617,0.2903887710397151
0.9,0.001,0.1,0.8202,,2.66415,1.40102,1.03708,1.2059081195172585,0.3008067565957526
0.9,0.001,0.2,0.8202,,2.66415,1.40101,1.03708,1.2240673004774707,0.3106127689291057
0.9,0.001,0.3,0.8202,,2.66415,1.40101,1.03708,1.2422239565440831,0.3208006696189385
0.9,0.001,0.4,0.8202,,2.66415,1.40102,1.03708,1.2603830524776518,0.3306946170770767
0.9,0.001,0.5,0.8202,,2.66415,1.40102,1.03708,1.2785381962309237,0.34110297503183296
0.9,0.001,0.6,0.8202,,2.66415,1.40102,1.03708,1.2966958933633335,0.3504133115919782
0.9,0.001,0.7,0.8209,,2.69660,1.42780,1.07648,1.31485439432538,0.36005100293456166
0.9,0.001,0.8,0.8202,,2.66415,1.40102,1.03708,1.3330146617132657,0.37179982049493127
0.9,0.001,0.9,0.8202,,2.66415,1.40102,1.03708,1.3511691583611065,0.3805950802387258
0.9,0.001,0.99,0.8202,,2.66415,1.40102,1.03708,1.3675161810798404,0.39172956089483285
0.9,0.001,1.0,0.8202,,2.66415,1.40102,1.03708,1.3693219178210947,0.391576661114439
0.9,0.1,0,0.8243,,2.60731,1.39017,1.00530,1.1387364245192009,0.2759785130284088
0.9,0.1,0.001,0.8234,,2.59882,1.38762,1.00095,1.1389181434409483,0.2748568074944
0.9,0.1,0.1,0.8192,,2.62325,1.37301,1.00789,1.1568933425452712,0.29440504194273404
