seed,alpha,eta,AUC,CST,CST_equal,CST_base,loss_start_epoch,loss_end_epoch
2,0.8,0,0.5477,,2.24237,1.22595,1.55576,9.18446159362793,9.173596382141113
2,0.8,1,0.7243,,2.36908,1.34542,1.68563,9.417917251586914,9.407712936401367
2,0.8,2,0.7120,,2.33121,1.30455,1.63754,9.369793891906738,9.364263534545898
2,0.8,3,0.7156,,2.34296,1.31602,1.65075,9.382413864135742,9.375509262084961
2,0.8,4,0.7175,,2.34921,1.32268,1.65836,9.389724731445312,9.381665229797363
2,0.8,5,0.7186,,2.35309,1.32686,1.66316,9.405122756958008,9.38564395904541
2,0.8,6,0.7193,,2.35575,1.32976,1.66649,9.403319358825684,9.388233184814453
2,0.8,7,0.7198,,2.35737,1.33152,1.66854,9.400069236755371,9.390275001525879
2,0.8,8,0.7194,,2.35466,1.32995,1.66657,9.397929191589355,9.389750480651855
2,0.8,9,0.7204,,2.35994,1.33407,1.67139,9.39969253540039,9.3923978805542
2,0.8,10,0.7202,,2.35690,1.33168,1.66877,9.410094261169434,9.392943382263184
2,0.9,0,0.5473,,2.24242,1.22595,1.55576,10.328269004821777,10.319966316223145
2,0.9,1,0.6709,,2.27638,1.26790,1.59290,10.448809623718262,10.437060356140137
2,0.9,2,0.6566,,2.27134,1.26221,1.58661,10.42200756072998,10.415276527404785
2,0.9,3,0.6606,,2.27333,1.26500,1.58954,10.429823875427246,10.420886993408203
2,0.9,4,0.6627,,2.27428,1.26628,1.59090,10.430678367614746,10.424028396606445
2,0.9,5,0.6640,,2.27491,1.26694,1.59162,10.432390213012695,10.425946235656738
2,0.9,6,0.6649,,2.27522,1.26710,1.59181,10.438111305236816,10.427300453186035
2,0.9,7,0.6656,,2.27549,1.26737,1.59211,10.43724536895752,10.428271293640137
2,0.9,8,0.6660,,2.27569,1.26742,1.59218,10.43596363067627,10.428915977478027
2,0.9,9,0.6663,,2.27586,1.26754,1.59234,10.438701629638672,10.429461479187012
2,0.9,10,0.6640,,2.27642,1.26719,1.59191,10.437235832214355,10.431007385253906
2,0.99,0,0.5474,,2.24242,1.22595,1.55577,11.361028671264648,11.351706504821777
2,0.99,1,0.5663,,2.24316,1.22631,1.55501,11.371898651123047,11.363362312316895
2,0.99,2,0.5632,,2.24289,1.22605,1.55495,11.368450164794922,11.361187934875488
2,0.99,3,0.5641,,2.24296,1.22613,1.55497,11.369966506958008,11.361766815185547
2,0.99,4,0.5647,,2.24303,1.22618,1.55501,11.369023323059082,11.362142562866211
2,0.99,5,0.5649,,2.24306,1.22622,1.55503,11.370611190795898,11.36229419708252
2,0.99,6,0.5649,,2.24311,1.22627,1.55507,11.371521949768066,11.362346649169922
2,0.99,7,0.5654,,2.24309,1.22623,1.55499,11.367854118347168,11.36262035369873
2,0.99,8,0.5650,,2.24312,1.22623,1.55503,11.369855880737305,11.362541198730469
2,0.99,9,0.5653,,2.24312,1.22627,1.55506,11.371155738830566,11.36266040802002
2,0.99,10,0.5654,,2.24312,1.22626,1.55503,11.373162269592285,11.362674713134766
2,1.0,0,0.5462,,2.24262,1.22564,1.55695,11.473238945007324,11.465775489807129
2,1.0,1,0.5486,,2.24242,1.22595,1.55577,11.47349739074707,11.466327667236328
2,1.0,2,0.5485,,2.24238,1.22591,1.55573,11.47319221496582,11.466304779052734
2,1.0,3,0.5487,,2.24242,1.22595,1.55577,11.47420597076416,11.466327667236328
2,1.0,4,0.5485,,2.24243,1.22599,1.55581,11.472790718078613,11.466302871704102
2,1.0,5,0.5483,,2.24243,1.22597,1.55578,11.472681045532227,11.466294288635254
2,1.0,6,0.5486,,2.24242,1.22595,1.55577,11.474292755126953,11.466327667236328
2,1.0,7,0.5484,,2.24243,1.22596,1.55578,11.47171688079834,11.466297149658203
2,1.0,8,0.5483,,2.24242,1.22595,1.55577,11.475651741027832,11.466322898864746
2,1.0,9,0.5486,,2.24242,1.22595,1.55577,11.476038932800293,11.466327667236328
2,1.0,10,0.5476,,2.24243,1.22595,1.55577,11.47335433959961,11.466270446777344
