seed,alpha,eta,AUC,CST,CST_equal,CST_base,loss_start_epoch,loss_end_epoch
2,0,0,0.2762,,0.07938,0.05404,0.08636,0.14752788841724396,0.0027685605455189943
2,0,1,0.7442,,1.76444,1.27924,1.72739,1.2221165895462036,1.1943316459655762
2,0,2,0.7442,,1.76497,1.27976,1.73144,0.976421058177948,0.9745572209358215
2,0,3,0.7441,,1.76827,1.28142,1.72685,1.036658525466919,1.0326900482177734
2,0,4,0.7440,,1.77437,1.28579,1.73457,1.0694291591644287,1.0658762454986572
2,0,5,0.7441,,1.76281,1.27864,1.72362,1.0929408073425293,1.0876058340072632
2,0,6,0.7440,,1.77668,1.28701,1.73272,1.1442837715148926,1.101654052734375
2,0,7,0.7436,,1.81014,1.30505,1.74847,1.1555455923080444,1.111100673675537
2,0,8,0.7405,,1.77335,1.25248,1.74167,1.1236015558242798,1.1067172288894653
2,0,9,0.7425,,1.79897,1.28493,1.72943,1.128861665725708,1.122347116470337
2,0,10,0.7438,,1.82411,1.31457,1.82485,1.1682056188583374,1.1292977333068848
2,0.001,0,0.4739,,1.56554,1.06055,1.39161,0.27686169743537903,0.024596482515335083
2,0.001,1,0.7442,,1.76551,1.27997,1.72774,1.2489683628082275,1.2066787481307983
2,0.001,2,0.7442,,1.76981,1.28276,1.73259,0.9997957944869995,0.9869872331619263
2,0.001,3,0.7441,,1.76928,1.28238,1.72874,1.049941062927246,1.0453006029129028
2,0.001,4,0.7441,,1.77136,1.28372,1.73579,1.080200433731079,1.0783076286315918
2,0.001,5,0.7442,,1.76315,1.27892,1.72389,1.101061224937439,1.099810242652893
2,0.001,6,0.7440,,1.77860,1.28753,1.74163,1.1164828538894653,1.113690733909607
2,0.001,7,0.7440,,1.78448,1.29222,1.73850,1.1457469463348389,1.1242544651031494
2,0.001,8,0.7436,,1.79988,1.29602,1.77919,1.150667428970337,1.1312199831008911
