seed,alpha,eta,AUC,CST,CST_equal,CST_base,loss_start_epoch,loss_end_epoch
2,0,0,0.3007,,2.16999,1.68334,2.51181,0.6636492013931274,0.2227281630039215
2,0,1,0.7188,,1.91103,1.80016,2.71791,5.7305684089660645,5.481841087341309
2,0,2,0.7173,,1.95974,1.83054,2.73992,4.576875686645508,4.3904900550842285
2,0,3,0.7309,,1.79222,1.84668,2.78603,4.924686908721924,4.509716987609863
2,0,4,0.7208,,1.80066,1.87531,2.81752,5.0323567390441895,4.623700141906738
2,0,5,0.7160,,1.88966,1.93290,2.86839,5.13721227645874,4.652035236358643
2,0,6,0.7203,,1.83051,1.72918,2.64749,5.086482048034668,4.629024028778076
2,0,7,0.7060,,1.84829,1.81844,2.75740,5.184965133666992,4.670108318328857
2,0,8,0.7046,,1.79572,1.80517,2.74570,5.3241753578186035,4.651249885559082
2,0,9,0.7304,,1.84025,1.79310,2.70954,5.306463718414307,4.545955181121826
2,0,10,0.7153,,1.78310,1.64667,2.57766,5.338434219360352,4.560956001281738
2,0.001,0,0.5164,,0.61246,0.58023,0.74540,1.3618417978286743,0.05296381562948227
2,0.001,1,0.7251,,1.78223,1.93101,2.86431,5.6135101318359375,5.449784755706787
2,0.001,2,0.7181,,1.79061,1.86117,2.79380,4.591890811920166,4.384138107299805
2,0.001,3,0.7246,,1.81821,1.94374,2.88793,4.961170673370361,4.542818546295166
2,0.001,4,0.7231,,1.76836,1.77813,2.72149,5.096973896026611,4.609550952911377
2,0.001,5,0.7243,,1.74890,1.81477,2.75676,5.083393096923828,4.625971794128418
2,0.001,6,0.7104,,1.76012,1.82739,2.77319,5.205659866333008,4.674679279327393
2,0.001,7,0.7066,,2.02021,1.79980,2.71607,5.162086486816406,4.745243549346924
2,0.001,8,0.7041,,1.76867,1.78507,2.72728,5.3199872970581055,4.653773307800293
2,0.001,9,0.7018,,1.78516,1.74491,2.68525,5.4176530838012695,4.633334636688232
2,0.001,10,0.7170,,1.75549,1.73491,2.66123,5.302561283111572,4.534788608551025
2,0.1,0,0.6774,,1.73860,1.04469,1.21550,1.6422594785690308,0.917317271232605
2,0.1,1,0.7235,,1.88041,1.81548,2.73692,5.953345775604248,5.80798864364624
2,0.1,2,0.7309,,1.79199,1.90157,2.84350,4.984875202178955,4.792619228363037
2,0.1,3,0.7224,,1.76791,1.84867,2.78674,5.222097396850586,4.9839959144592285
2,0.1,4,0.7312,,1.84266,1.80378,2.74589,5.345852375030518,5.018186092376709
2,0.1,5,0.7184,,2.02113,1.80914,2.72395,5.440482139587402,5.0940656661987305
