seed,weight,AUC,CST,CST_equal,CST_base,loss_start_epoch,loss_end_epoch
2,0,0.5146,,2.03659,0.64315,1.40258,35.19264221191406,35.15478515625
2,0.001,0.7491,,2.80380,1.37742,1.91038,35.13717269897461,35.119380950927734
2,0.1,0.7477,,2.85307,1.40924,1.95271,31.69970703125,31.662981033325195
2,0.2,0.7479,,2.86689,1.41539,1.95794,28.204490661621094,28.171566009521484
2,0.3,0.7459,,2.84526,1.41025,1.95223,24.723262786865234,24.68050193786621
2,0.4,0.7495,,2.86523,1.41457,1.95394,21.21519660949707,21.188373565673828
2,0.5,0.7440,,2.83477,1.40125,1.94453,17.71650505065918,17.697378158569336
2,0.6,0.7467,,2.83689,1.40489,1.95023,14.22283935546875,14.204254150390625
2,0.7,0.7492,,2.86644,1.41662,1.96084,10.729643821716309,10.71256160736084
2,0.8,0.7486,,2.86547,1.41355,1.95597,7.240879535675049,7.221668243408203
2,0.9,0.7489,,2.85129,1.40956,1.95001,3.741314649581909,3.730240821838379
2,0.99,0.7549,,2.88416,1.43302,1.97201,0.5980965495109558,0.5840693116188049
2,1.0,0.7563,,2.88025,1.43276,1.97250,0.2483285665512085,0.2345568686723709
