seed,alpha,AUC,CST,CST_equal,CST_base,loss_start_epoch,loss_end_epoch
5,0,0.2936,0.38316,0.29196,0.44465,29.756677627563477,28.840091705322266
5,0.01,0.7187,1.91492,1.80707,2.72222,29.515277862548828,28.606496810913086
5,0.1,0.7193,1.91482,1.81421,2.72939,27.342679977416992,26.503992080688477
5,0.2,0.7199,1.91796,1.81655,2.73159,24.928688049316406,24.16766929626465
5,0.3,0.7199,1.91654,1.81887,2.73389,22.514690399169922,21.831262588500977
5,0.4,0.7193,1.91490,1.83508,2.75004,20.100696563720703,19.494760513305664
5,0.5,0.7168,1.91554,1.83773,2.75274,17.68669891357422,17.158161163330078
5,0.6,0.7084,1.88283,1.78444,2.69529,15.272705078125,14.819574356079102
5,0.7,0.7086,1.88235,1.77735,2.68789,12.858708381652832,12.482090950012207
5,0.8,0.7090,1.87104,1.77572,2.68604,10.444713592529297,10.141590118408203
5,0.9,0.7123,1.86477,1.75064,2.66615,8.030717849731445,7.79428768157959
5,0.99,0.7519,1.89389,1.85451,2.77994,5.858122825622559,5.529233455657959
5,1.0,0.7583,1.86747,1.73299,2.65899,5.616722583770752,5.2285027503967285
