seed,alpha,AUC,CST,CST_equal,CST_base,loss_start_epoch,loss_end_epoch
5,0,0.4981,1.46533,0.44894,1.37260,70.28636169433594,70.2086181640625
5,0.01,0.7455,2.84223,1.40770,1.95155,69.58749389648438,69.51033020019531
5,0.1,0.7461,2.84072,1.40629,1.94822,63.29779052734375,63.22572708129883
5,0.2,0.7446,2.83652,1.40318,1.94516,56.309226989746094,56.243072509765625
5,0.3,0.7448,2.83704,1.40373,1.94556,49.32066345214844,49.260231018066406
5,0.4,0.7452,2.83738,1.40403,1.94558,42.33209991455078,42.277347564697266
5,0.5,0.7482,2.84661,1.40770,1.95060,35.343536376953125,35.29340744018555
5,0.6,0.7492,2.85526,1.41403,1.95695,28.354969024658203,28.309846878051758
5,0.7,0.7495,2.86536,1.41308,1.95466,21.36640739440918,21.32575035095215
5,0.8,0.7502,2.86734,1.41314,1.95360,14.377840042114258,14.342145919799805
5,0.9,0.7522,2.87700,1.42382,1.96485,7.389276027679443,7.356668949127197
5,0.99,0.7584,2.88602,1.43100,1.96834,1.0995676517486572,1.0653033256530762
5,1.0,0.7576,2.88257,1.43139,1.96727,0.400711327791214,0.3676840662956238
