seed,alpha,AUC,CST,CST_equal,CST_base,loss_start_epoch,loss_end_epoch
2,0,0.5696,0.69183,0.55238,1.30751,27.05068016052246,26.019227981567383
2,0.01,0.7587,1.19031,1.49346,2.38010,26.82240104675293,25.799901962280273
2,0.1,0.7593,1.19176,1.49736,2.38399,24.767866134643555,23.82585334777832
2,0.2,0.7603,1.19379,1.50118,2.38802,22.485050201416016,21.63212776184082
2,0.3,0.7617,1.19684,1.49637,2.38341,20.202234268188477,19.437753677368164
2,0.4,0.7643,1.20208,1.51465,2.40175,17.919416427612305,17.242141723632812
2,0.5,0.7658,1.20441,1.51507,2.40236,15.636597633361816,15.046622276306152
2,0.6,0.7700,1.21425,1.52148,2.40890,13.353780746459961,12.847148895263672
2,0.7,0.7735,1.23395,1.59653,2.48375,11.070963859558105,10.640960693359375
2,0.8,0.7800,1.25788,1.56672,2.45230,8.78814697265625,8.424163818359375
2,0.9,0.7861,1.30583,1.59396,2.46768,6.5053300857543945,6.178563594818115
2,0.99,0.7936,1.35795,1.56247,2.43585,4.450794696807861,4.105451583862305
2,1.0,0.7935,1.35187,1.58137,2.45150,4.222512722015381,3.876171350479126
